text,label
"i have frequent urination, excessive thirst and blurred vision",Diabetes
"i feel very thirsty and tired and my sugar seems high",Diabetes
"my hands and feet feel numb and i urinate a lot",Diabetes
"i have weight loss, hunger and high blood sugar",Diabetes
"i feel thirsty all the time and my vision gets blurry",Diabetes
"i have fatigue, increased urination and high glucose",Diabetes
"my bp is high and i have headache and dizziness",Hypertension
"i feel pressure in my head and my blood pressure stays high",Hypertension
"i have headache with repeated high bp readings",Hypertension
"i feel dizzy and my blood pressure is elevated",Hypertension
"my blood pressure is high and i feel chest heaviness",Hypertension
"i have stress, headache and high blood pressure",Hypertension
"i have fever, cough and shortness of breath",Pneumonia
"i am coughing with chest congestion and breathing difficulty",Pneumonia
"i have chills, cough and low oxygen",Pneumonia
"i have fever and chest pain when breathing with cough",Pneumonia
"i have cough, sputum and difficulty breathing",Pneumonia
"i feel feverish with chest congestion and shortness of breath",Pneumonia
"i feel weak, pale and dizzy",Anemia
"i get tired quickly and feel faint sometimes",Anemia
"i have weakness, low hemoglobin and shortness of breath on walking",Anemia
"i feel dizzy and tired with pale skin",Anemia
"i feel exhausted and lightheaded most of the day",Anemia
"i have fatigue, pallor and low blood count",Anemia
"i have chest pain and palpitations",Heart Disease
"i feel chest tightness and shortness of breath on walking",Heart Disease
"i have swelling in my legs and feel breathless",Heart Disease
"i have chest discomfort with abnormal heartbeat",Heart Disease
"i get chest pressure when climbing stairs",Heart Disease
"i have chest pain, sweating and breathlessness",Heart Disease
"i have high fever, rash and body ache",Dengue
"i have fever, joint pain and low platelets",Dengue
"i have vomiting, rash and severe body pain with fever",Dengue
"i have dengue symptoms like high fever and muscle pain",Dengue
"i have fever, pain behind the eyes and body ache",Dengue
"i feel weak with rash, fever and joint pain",Dengue
"i have runny nose, sneezing and sore throat",Common Cold
"i have cold, cough and blocked nose",Common Cold
"i am sneezing a lot with mild sore throat and congestion",Common Cold
"i have runny nose and mild cough since yesterday",Common Cold
"i feel stuffed nose, watery eyes and light throat irritation",Common Cold
"i have cold symptoms with sneezing and nasal congestion",Common Cold
"i have mild fever and slight cold since today",Common Cold
"just mild fever with runny nose",Common Cold
"i have low fever and sneezing",Common Cold
"i have high fever, body ache and dry cough",Influenza
"i suddenly got fever, chills and severe body pain",Influenza
"i have flu symptoms with headache, cough and fatigue",Influenza
"i feel feverish with chills, body aches and cough",Influenza
"i have sudden fever and muscle pain with weakness",Influenza
"i have influenza like symptoms and want relief",Influenza
"i have fever since today",Influenza
"only fever and mild body ache",Influenza
"i feel mild fever and weakness",Influenza
"i keep sneezing and my nose runs during pollen season",Allergic Rhinitis
"i have itchy eyes, sneezing and watery nose",Allergic Rhinitis
"my allergies are acting up with runny nose and nasal itching",Allergic Rhinitis
"i have hay fever symptoms with sneezing and itchy eyes",Allergic Rhinitis
"i get seasonal allergy with congestion and watery eyes",Allergic Rhinitis
"i have allergic rhinitis and constant sneezing",Allergic Rhinitis
"i have loose motions, vomiting and stomach cramps",Viral Gastroenteritis
"i have diarrhea with nausea and feel dehydrated",Viral Gastroenteritis
"my stomach is upset with vomiting and loose stool",Viral Gastroenteritis
"i have stomach flu symptoms with diarrhea and weakness",Viral Gastroenteritis
"i have nausea, abdominal pain and repeated loose motions",Viral Gastroenteritis
"i feel dehydrated because of diarrhea and vomiting",Viral Gastroenteritis
"i have one sided headache with nausea and light sensitivity",Migraine
"i have severe headache and i cannot tolerate bright light",Migraine
"my migraine started with throbbing pain and vomiting",Migraine
"i have headache with sensitivity to sound and nausea",Migraine
"i get migraine with aura and severe head pain",Migraine
"i have pulsating headache and need rest in a dark room",Migraine
"i have wheezing and chest tightness at night",Asthma
"i feel shortness of breath with wheeze and cough",Asthma
"my inhaler is not helping and i have chest tightness",Asthma
"i get cough and wheezing after dust exposure",Asthma
"i have trouble breathing with wheezing",Asthma
"my face is drooping and my speech is slurred",Stroke
"i suddenly cannot move my arm and words are unclear",Stroke
"i have sudden weakness on one side and blurred speech",Stroke
"my mouth feels twisted and i have arm weakness",Stroke
"i suddenly lost clear speech and feel one sided weakness",Stroke
"i have high fever with severe joint pain and rash",Chikungunya
"my joints hurt badly with fever after mosquito bites",Chikungunya
"i have fever, body pain, rash and swollen joints",Chikungunya
"i feel intense joint pain and fever since yesterday",Chikungunya
"i have chikungunya like fever with joint stiffness",Chikungunya
"i have diarrhea and vomiting and feel very thirsty",Acute Diarrheal Disease
"i have loose stool many times and signs of dehydration",Acute Diarrheal Disease
"i feel weak with diarrhea and cannot keep fluids well",Acute Diarrheal Disease
"i have watery diarrhea and stomach cramps",Acute Diarrheal Disease
"i am passing loose motions and feel dehydrated",Acute Diarrheal Disease
"i have fever, dry cough, body ache and loss of smell",COVID-19
"my covid test is positive and i have cough with tiredness",COVID-19
"i feel feverish with sore throat, dry cough and low oxygen",COVID-19
"i lost taste and smell and have headache with cough",COVID-19
"i have breathlessness, fever and covid exposure",COVID-19
"i have cough for three weeks with night sweats and weight loss",Tuberculosis
"i am coughing blood and losing weight with evening fever",Tuberculosis
"i have long lasting cough, poor appetite and night sweats",Tuberculosis
"my tb test is positive and i feel weak with fever",Tuberculosis
"i have chest cough, fever at night and weight loss",Tuberculosis
"i have high fever with chills and sweating after mosquito bites",Malaria
"i feel fever spikes, headache, chills and severe weakness",Malaria
"i have malaria test positive with vomiting and body ache",Malaria
"i get shivering fever, sweating and fatigue every day",Malaria
"i have fever with chills, nausea and muscle pain",Malaria
"i have prolonged fever, stomach pain and weakness",Typhoid
"my widal test is positive and i have fever with poor appetite",Typhoid
"i have typhoid symptoms with headache and abdominal discomfort",Typhoid
"i feel sustained fever, loose stool and body ache",Typhoid
"i have fever for many days with coated tongue and stomach pain",Typhoid
"i have burning urination and need to urinate frequently",Urinary Tract Infection
"i feel pain while passing urine with lower stomach pain",Urinary Tract Infection
"my urine test shows pus cells and i have fever",Urinary Tract Infection
"i have cloudy urine, urgency and burning micturition",Urinary Tract Infection
"i have flank pain, fever and urinary infection symptoms",Urinary Tract Infection
"my creatinine is high and my feet are swollen",Kidney Disease
"i have reduced urine, swelling and kidney test abnormal",Kidney Disease
"my egfr is low and i feel tired with puffy face",Kidney Disease
"i have protein in urine, high blood pressure and swelling",Kidney Disease
"i feel weak with abnormal kidney function and low urine output",Kidney Disease
"i have yellow eyes, dark urine and high bilirubin",Liver Disease
"my liver enzymes are high and i feel nauseated",Liver Disease
"i have jaundice, poor appetite and abdominal swelling",Liver Disease
"my hepatitis test is positive and i feel very tired",Liver Disease
"i have right upper stomach pain with yellow skin and fatigue",Liver Disease
"my tsh is high and i feel tired with weight gain",Thyroid Disorder
"i have palpitations, weight loss and low tsh",Thyroid Disorder
"i feel cold intolerance, constipation and fatigue",Thyroid Disorder
"my thyroid test is abnormal and my neck looks swollen",Thyroid Disorder
"i have heat intolerance, tremor and fast heartbeat",Thyroid Disorder
